,id,neighbourhood,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_is_superhost,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,maximum_nights,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,price
1194,3865,Palermo,Entire home/apt,14,7,4/17/19,0.21,1,362,2/1/17,f,1.0,1,1,Real Bed,4207,1,0,1125,f,f,strict_14_with_grace_period,f,f,2
1195,8630,Recoleta,Entire home/apt,4,1,3/6/19,0.06,19,172,9/20/18,t,1.0,1,1,Real Bed,2092,1,0,1125,t,f,flexible,f,f,3
1196,12608,Palermo,Entire home/apt,3,1,12/24/19,0.16,5,86,4/26/19,f,1.0,1,1,Real Bed,3153,1,1051,1125,f,f,flexible,f,f,4
1197,2213,Palermo,Entire home/apt,3,13,11/12/18,0.41,1,363,1/9/14,f,1.0,1,1,Real Bed,1325,1,0,45,t,f,moderate,f,f,3
1198,8510,Recoleta,Entire home/apt,4,1,10/20/19,0.12,1,0,1/2/19,f,1.0,1,1,Real Bed,500,1,0,30,t,f,flexible,f,f,1
1199,5752,Balvanera,Private room,1,2,4/15/18,0.07,1,360,12/23/17,f,1.0,1,2,Real Bed,0,1,474,1125,f,f,flexible,f,f,1
1200,4083,Recoleta,Private room,2,13,4/15/18,0.34,2,178,10/29/15,f,1.0,1,1,Real Bed,697,1,0,90,t,f,flexible,f,f,3
1201,3430,San Nicolás,Entire home/apt,3,98,2/11/20,2.28,1,358,9/26/16,t,1.0,1,4,Real Bed,1300,4,0,45,t,f,moderate,f,f,3
1202,7121,San Nicolás,Entire home/apt,2,54,1/7/20,2.54,4,355,12/12/15,f,1.0,1,2,Real Bed,1046,2,349,160,t,f,strict_14_with_grace_period,f,f,2
1203,8878,San Nicolás,Entire home/apt,2,3,8/4/19,0.2,3,0,5/17/17,t,1.0,1,1,Real Bed,697,1,0,30,f,f,flexible,f,f,3
1204,8145,Belgrano,Entire home/apt,4,13,3/31/20,0.79,2,360,10/22/12,t,1.0,1,2,Real Bed,1399,1,0,120,t,f,flexible,f,f,2
1205,9068,Parque Chas,Private room,2,2,4/2/19,0.13,1,0,3/19/18,f,2.0,1,1,Real Bed,219,1,0,5,t,f,flexible,f,f,1
1206,7445,San Nicolás,Entire home/apt,4,5,12/23/19,0.24,1,0,8/27/18,f,1.0,1,1,Real Bed,837,1,0,21,f,f,moderate,f,f,1
1207,9371,Villa Crespo,Entire home/apt,30,3,5/12/19,0.21,1,0,1/20/17,f,1.5,1,1,Real Bed,400,1,0,180,f,f,moderate,f,f,1
1208,3272,Palermo,Entire home/apt,7,172,6/16/20,3.79,5,360,10/17/14,t,2.0,2,5,Real Bed,3138,4,1046,1120,f,f,strict_14_with_grace_period,f,f,4
1209,4707,Palermo,Entire home/apt,1,1,10/29/17,0.03,1,88,9/6/17,f,1.0,1,2,Real Bed,1534,1,0,1125,f,f,flexible,f,f,4
1210,11917,Chacarita,Entire home/apt,2,16,3/9/20,1.78,2,360,8/8/17,f,1.0,2,2,Real Bed,283,1,0,1125,t,f,flexible,f,f,2
1211,2600,San Nicolás,Entire home/apt,2,61,11/2/19,1.15,4,364,12/12/15,f,1.0,1,2,Real Bed,1046,2,349,180,t,f,moderate,f,f,3
1212,10490,Villa Crespo,Entire home/apt,7,6,12/12/19,0.49,12,359,4/28/15,f,2.0,1,4,Real Bed,1746,1,0,1125,t,f,flexible,f,f,1
1213,9791,La Boca,Entire home/apt,1,2,1/19/20,0.38,1,31,4/5/19,f,1.0,1,1,Real Bed,600,1,0,7,t,f,flexible,f,f,1
1214,10603,Palermo,Entire home/apt,2,40,3/9/20,3.27,16,264,11/29/15,f,1.0,0,0,Real Bed,1048,1,0,1125,f,f,strict_14_with_grace_period,f,f,2
1215,3886,Palermo,Entire home/apt,1,41,3/8/20,1.14,4,359,8/1/16,t,2.0,2,3,Real Bed,2863,1,0,1125,t,f,moderate,f,f,4
1216,11520,Barracas,Private room,1,1,11/9/19,0.13,5,175,8/6/17,t,1.5,1,1,Real Bed,630,1,0,1125,t,f,flexible,f,f,1
1217,4700,Palermo,Entire home/apt,15,9,12/30/18,0.35,20,361,3/27/12,f,1.0,0,2,Real Bed,1051,2,0,1125,t,f,strict_14_with_grace_period,f,f,4
1218,7506,Villa Crespo,Private room,1,1,11/17/18,0.05,1,83,10/13/18,f,1.0,1,1,Real Bed,195,1,0,3,t,f,flexible,f,f,1
1219,13562,Palermo,Entire home/apt,1,2,5/8/20,0.57,1,68,1/31/20,f,1.0,0,1,Real Bed,900,1,400,1125,t,f,strict_14_with_grace_period,f,f,1
1220,10357,Belgrano,Private room,1,2,9/22/19,0.17,2,0,5/9/19,f,1.0,1,2,Real Bed,390,1,546,1125,t,f,strict_14_with_grace_period,f,f,3
1221,8237,San Telmo,Entire home/apt,14,18,3/20/20,1.0,3,85,9/15/13,t,1.0,0,1,Real Bed,2799,2,350,1125,f,f,strict_14_with_grace_period,f,f,3
1222,13571,Recoleta,Entire home/apt,7,6,3/7/20,1.29,1,362,9/7/19,f,1.0,0,2,Real Bed,1052,1,0,1125,t,f,strict_14_with_grace_period,f,f,3
1223,10652,Almagro,Entire home/apt,2,2,5/28/20,0.29,1,116,8/13/17,f,1.0,1,2,Real Bed,1536,1,0,180,t,f,flexible,f,f,3
1224,13616,Recoleta,Entire home/apt,2,8,3/18/20,1.86,1,365,5/19/16,t,1.0,1,1,Real Bed,0,1,0,1125,t,f,moderate,f,f,2
1225,2413,Palermo,Private room,2,20,6/25/19,0.47,4,0,5/18/12,t,1.0,1,1,Real Bed,697,1,0,1125,f,f,strict_14_with_grace_period,f,f,1
1226,874,Palermo,Private room,2,158,4/19/20,1.99,7,153,8/26/12,t,1.0,1,3,Real Bed,559,2,559,1125,t,f,moderate,t,f,2
1227,6779,Palermo,Entire home/apt,1,17,3/18/20,0.78,6,361,2/7/18,f,1.0,1,1,Real Bed,3503,1,350,1125,t,f,moderate,f,f,3
1228,10981,Almagro,Entire home/apt,2,2,2/16/20,0.18,1,175,7/2/19,f,1.0,0,1,Real Bed,1000,1,0,1125,t,f,flexible,f,f,2
1229,10907,Almagro,Entire home/apt,2,2,12/29/19,0.17,1,360,11/8/13,f,1.0,2,2,Real Bed,630,2,700,1125,t,f,flexible,f,f,2
1230,6478,Palermo,Entire home/apt,2,50,2/14/20,2.15,2,72,5/31/16,t,1.0,2,5,Real Bed,1046,4,1046,1125,t,f,moderate,f,f,4
1231,2739,Retiro,Entire home/apt,1,12,5/17/19,0.4,1,303,3/10/16,f,1.0,1,1,Real Bed,200,1,200,1125,t,f,moderate,f,f,1
1232,8828,Recoleta,Entire home/apt,2,15,10/6/19,1.01,1,34,10/19/16,t,1.0,1,1,Real Bed,0,1,0,15,t,f,flexible,f,f,3
1233,3837,Recoleta,Private room,3,4,12/2/17,0.1,3,89,12/19/16,f,0.0,1,1,Real Bed,1395,1,0,1125,f,f,flexible,f,f,1
1234,12599,Boedo,Entire home/apt,1,13,3/20/20,1.95,1,69,6/18/18,t,1.0,1,1,Real Bed,500,1,0,1125,t,f,moderate,f,f,1
1235,2067,Palermo,Entire home/apt,2,36,3/12/20,0.66,72,301,5/23/14,f,1.0,0,1,Real Bed,697,1,0,1125,f,f,moderate,f,f,2
1236,10973,Palermo,Entire home/apt,3,4,12/1/19,0.34,2,359,7/2/19,t,2.0,1,3,Real Bed,6983,1,1746,90,f,f,flexible,f,f,3
1237,6621,Monserrat,Entire home/apt,3,3,4/28/19,0.13,4,82,10/5/16,f,1.0,1,2,Real Bed,990,2,500,32,t,f,flexible,f,f,1
1238,2785,Boedo,Private room,3,6,1/10/19,0.12,4,360,1/26/16,f,1.0,1,2,Real Bed,0,1,700,1125,t,f,strict_14_with_grace_period,f,f,3
1239,7589,San Telmo,Entire home/apt,2,48,3/15/20,3.85,1,0,8/23/15,t,1.0,0,0,Real Bed,697,1,0,1125,t,f,flexible,f,f,2
1240,10814,Palermo,Private room,1,25,3/1/20,2.14,15,180,2/2/18,f,1.0,1,2,Real Bed,907,1,0,35,t,f,flexible,f,f,2
1241,5789,Palermo,Entire home/apt,3,40,3/16/20,1.49,11,322,8/28/13,t,1.0,1,3,Real Bed,3499,1,0,240,t,f,moderate,f,f,3
1242,7566,Colegiales,Entire home/apt,3,7,12/29/19,0.37,1,365,2/12/16,t,1.0,1,1,Real Bed,0,1,0,180,t,f,strict_14_with_grace_period,f,f,2
1243,3979,Recoleta,Entire home/apt,2,27,3/4/20,0.68,1,143,5/16/16,f,1.0,1,1,Real Bed,750,2,212,1124,t,f,flexible,f,f,1
1244,5130,Recoleta,Entire home/apt,15,26,12/16/19,0.87,1,171,11/11/16,t,1.0,1,3,Real Bed,0,1,0,300,t,f,flexible,f,f,1
1245,603,Recoleta,Entire home/apt,2,164,3/21/20,2.0,4,163,3/9/13,t,1.0,1,2,Real Bed,3138,1,0,180,t,f,flexible,f,f,3
1246,10587,Palermo,Entire home/apt,3,27,1/28/20,2.15,1,0,1/4/18,f,1.0,1,1,Real Bed,599,4,500,15,t,f,strict_14_with_grace_period,f,f,1
1247,7518,Almagro,Entire home/apt,5,16,3/16/20,0.82,2,321,2/15/16,t,1.0,1,1,Real Bed,2095,1,0,1125,f,f,moderate,f,f,1
1248,2864,Recoleta,Entire home/apt,7,4,12/17/18,0.09,12,364,3/26/13,f,1.0,0,2,Real Bed,2790,1,0,180,t,f,strict_14_with_grace_period,f,f,4
1249,8078,Villa Urquiza,Entire home/apt,7,18,3/20/20,0.98,1,0,11/27/18,t,1.0,1,1,Real Bed,800,2,400,14,f,f,moderate,f,f,1
1250,1712,Palermo,Entire home/apt,2,51,2/28/20,0.81,5,325,3/7/15,t,2.5,3,3,Real Bed,4185,4,4185,180,f,f,strict_14_with_grace_period,f,f,4
1251,8905,Palermo,Entire home/apt,2,16,1/10/20,1.01,1,0,12/10/18,t,1.0,0,1,Real Bed,1674,1,0,1125,t,f,moderate,f,f,3
1252,11778,San Nicolás,Entire home/apt,2,11,3/3/20,1.17,2,365,1/9/16,t,2.0,2,2,Real Bed,2790,1,0,1125,t,f,flexible,f,f,3
1253,9605,Recoleta,Entire home/apt,2,24,3/3/20,1.6,16,84,10/10/14,t,1.0,1,1,Real Bed,1200,2,210,60,t,f,flexible,f,f,2
1254,6811,Recoleta,Entire home/apt,2,30,4/24/20,2.36,2,180,9/20/16,f,1.0,0,2,Real Bed,780,3,702,30,f,f,strict_14_with_grace_period,f,f,2
1255,8014,Belgrano,Entire home/apt,4,1,1/25/19,0.06,1,84,9/27/17,f,1.5,0,1,Real Bed,1048,1,0,28,t,f,flexible,f,f,2
1256,1876,Almagro,Entire home/apt,3,4,7/21/17,0.08,1,0,6/4/15,f,2.0,1,2,Real Bed,0,1,0,30,f,f,moderate,f,f,1
1257,11020,Palermo,Private room,1,5,3/14/20,0.58,1,83,1/30/16,f,1.5,1,2,Real Bed,351,1,0,14,f,f,moderate,f,f,1
1258,2123,San Telmo,Entire home/apt,2,29,12/3/19,1.33,1,177,9/7/15,t,1.0,1,1,Real Bed,1100,2,800,30,t,f,moderate,f,f,1
1259,1818,Recoleta,Entire home/apt,7,1,3/15/20,0.29,1,214,3/12/14,f,1.0,1,2,Real Bed,1500,2,0,90,f,f,moderate,f,f,3
1260,5732,Recoleta,Entire home/apt,2,1,10/14/18,0.05,32,364,12/6/17,f,1.0,1,2,Real Bed,1395,1,2441,180,t,f,flexible,f,f,4
1261,11944,San Nicolás,Entire home/apt,2,8,3/13/20,1.02,5,365,1/24/15,t,1.0,1,3,Real Bed,2092,1,0,98,t,f,flexible,f,f,3
1262,2921,Palermo,Entire home/apt,1,1,5/24/16,0.02,22,365,12/10/14,t,1.0,0,1,Real Bed,5022,1,0,1125,f,f,strict_14_with_grace_period,f,f,4
1263,5453,Palermo,Entire home/apt,15,12,3/29/20,0.64,1,279,11/29/17,f,1.0,1,1,Real Bed,837,3,349,184,t,f,flexible,f,f,1
1264,12277,Palermo,Entire home/apt,4,7,2/20/20,0.96,2,263,9/26/14,f,1.0,1,2,Real Bed,1749,1,0,1125,f,f,moderate,f,f,1
1265,10208,San Telmo,Entire home/apt,2,7,3/17/20,0.54,10,346,12/31/16,t,1.0,1,2,Real Bed,2799,1,0,1125,t,f,flexible,f,f,3
1266,956,Palermo,Entire home/apt,3,206,2/14/20,2.68,1,361,1/12/14,t,1.0,1,1,Real Bed,1401,1,0,1125,t,f,moderate,f,f,4
1267,6368,San Telmo,Entire home/apt,2,50,2/22/20,2.54,1,310,4/28/13,t,1.5,1,1,Real Bed,3841,2,1048,45,f,f,moderate,f,f,4
1268,11433,San Nicolás,Entire home/apt,7,21,5/23/20,1.99,1,310,2/6/18,t,2.0,4,12,Real Bed,3856,5,351,360,f,f,strict_14_with_grace_period,f,f,4
1269,4080,Palermo,Entire home/apt,2,89,3/25/20,2.35,1,15,4/2/17,t,1.0,1,1,Real Bed,700,1,0,1125,f,f,strict_14_with_grace_period,f,f,1
1270,12817,Almagro,Entire home/apt,7,2,6/10/20,0.44,9,80,5/29/14,t,1.0,1,1,Real Bed,1399,1,0,180,f,f,moderate,f,f,1
1271,3640,Belgrano,Entire home/apt,7,3,12/10/19,0.1,1,359,11/20/16,f,1.0,1,1,Real Bed,2444,3,1746,180,f,f,strict_14_with_grace_period,f,f,1
1272,13349,Retiro,Entire home/apt,3,8,3/19/20,1.63,2,0,12/5/17,t,1.0,1,3,Real Bed,697,1,0,1125,f,f,strict_14_with_grace_period,f,f,3
1273,2718,Villa Crespo,Private room,3,23,2/28/19,0.45,3,174,3/27/15,f,1.5,1,1,Real Bed,1749,1,0,1125,f,f,moderate,f,f,1
1274,4814,Palermo,Entire home/apt,4,9,12/2/19,0.28,30,359,11/4/15,t,2.0,3,4,Real Bed,3492,1,0,180,f,f,strict_14_with_grace_period,f,f,4
1275,9797,Boedo,Entire home/apt,1,1,4/14/19,0.07,1,0,4/5/19,f,1.0,1,1,Real Bed,211,1,350,5,t,f,moderate,f,f,1
1276,9205,Palermo,Entire home/apt,2,12,8/19/19,0.74,1,0,3/23/17,f,1.5,2,3,Real Bed,850,1,0,1125,t,f,flexible,f,f,3
1277,12961,Villa del Parque,Entire home/apt,1,4,3/4/20,0.63,1,265,8/25/19,f,1.0,1,1,Real Bed,630,1,0,1125,t,f,moderate,f,f,2
1278,3412,Palermo,Entire home/apt,28,6,2/16/20,0.3,1,348,1/28/10,f,1.0,2,1,Real Bed,3153,2,4554,1125,f,f,strict_14_with_grace_period,f,f,4
1279,3649,Recoleta,Entire home/apt,3,43,2/29/20,1.0,1,174,12/6/16,f,1.0,1,4,Real Bed,1100,3,402,100,f,f,strict_14_with_grace_period,f,f,1
1280,5662,Belgrano,Entire home/apt,4,3,12/21/18,0.15,1,0,2/1/18,f,1.0,1,1,Real Bed,1395,1,697,1125,t,f,moderate,f,f,3
1281,1191,Monserrat,Private room,2,19,5/31/20,0.37,3,191,1/22/12,t,1.0,1,1,Real Bed,2092,1,418,1125,t,f,moderate,f,f,3
1282,9227,Palermo,Entire home/apt,1,1,3/5/19,0.06,22,365,12/10/14,t,1.5,1,1,Real Bed,2023,1,0,1125,f,f,strict_14_with_grace_period,f,f,4
1283,7109,Palermo,Entire home/apt,3,46,4/25/20,2.14,1,109,4/20/13,t,1.0,1,1,Real Bed,0,3,837,90,f,f,strict_14_with_grace_period,t,t,3
1284,12713,Retiro,Entire home/apt,3,10,3/17/20,1.47,1,89,11/21/19,f,1.5,0,1,Real Bed,1744,2,697,1125,f,f,moderate,f,f,3
1285,4703,Belgrano,Entire home/apt,1,46,5/25/19,1.37,9,167,8/25/16,t,1.0,0,3,Real Bed,2095,1,698,60,f,f,strict_14_with_grace_period,f,f,4
1286,829,Palermo,Entire home/apt,3,3,5/29/19,0.18,1,83,1/18/13,f,1.0,2,2,Real Bed,1397,3,1397,1125,t,f,moderate,f,f,4
1287,5859,Caballito,Entire home/apt,3,51,6/5/20,2.17,2,360,11/5/13,t,1.0,1,1,Real Bed,350,1,0,1125,f,f,moderate,f,f,2
1288,3611,Chacarita,Entire home/apt,4,10,2/27/20,1.14,1,142,9/27/15,t,1.0,1,2,Real Bed,560,2,560,1125,t,f,moderate,f,f,2
1289,3232,Palermo,Entire home/apt,30,1,10/22/17,0.03,1,84,5/30/13,f,1.0,1,1,Real Bed,2095,1,0,1125,f,f,strict_14_with_grace_period,f,f,2
1290,7990,Núñez,Entire home/apt,3,12,3/15/20,0.65,1,358,3/10/13,f,1.0,1,1,Real Bed,1000,1,0,35,f,f,strict_14_with_grace_period,f,f,2
1291,11458,Monserrat,Entire home/apt,2,9,2/23/20,0.9,1,269,7/29/18,f,1.0,1,1,Real Bed,1395,1,0,45,f,f,moderate,f,f,1
1292,11087,Recoleta,Entire home/apt,2,7,3/11/20,0.77,1,269,7/13/19,t,1.0,1,2,Real Bed,1395,2,1046,1125,f,f,moderate,f,f,3
1293,11141,Monserrat,Entire home/apt,3,10,1/4/20,0.93,22,51,4/23/13,f,1.0,2,2,Real Bed,2095,3,349,1125,t,f,strict_14_with_grace_period,f,f,4
1294,8408,Balvanera,Private room,4,1,1/5/19,0.06,5,356,12/4/15,f,3.0,0,2,Real Bed,400,1,0,90,t,f,strict_14_with_grace_period,f,f,1
1295,6736,Palermo,Entire home/apt,1,9,2/28/20,0.41,35,365,8/7/14,t,1.0,0,1,Real Bed,1744,2,697,1125,f,f,strict_14_with_grace_period,f,f,2
1296,2976,Palermo,Entire home/apt,3,61,2/29/20,1.24,20,20,4/2/14,f,1.0,0,0,Real Bed,2793,1,0,365,t,f,flexible,f,f,3
1297,7598,Recoleta,Entire home/apt,2,8,1/10/20,0.41,1,179,10/21/18,f,1.0,2,3,Real Bed,2092,1,0,1125,f,f,moderate,f,f,4
1298,3553,Coghlan,Entire home/apt,1,36,11/10/19,0.82,1,85,12/30/13,f,1.0,1,1,Real Bed,1050,2,350,90,t,f,moderate,f,f,3
1299,647,Palermo,Entire home/apt,2,6,3/8/20,0.08,1,365,5/12/13,f,1.5,2,3,Real Bed,1186,2,0,180,f,f,strict_14_with_grace_period,f,f,4
1300,5236,Almagro,Entire home/apt,3,15,1/21/19,0.5,1,82,5/16/15,f,1.0,1,3,Real Bed,0,2,359,65,f,f,flexible,f,f,1
1301,9028,Villa Urquiza,Entire home/apt,10,1,5/13/19,0.07,1,173,1/25/19,f,1.0,1,1,Real Bed,700,1,0,100,t,f,flexible,f,f,2
1302,6908,Palermo,Private room,3,27,4/23/20,1.24,1,180,2/20/17,t,1.0,1,1,Real Bed,230,1,800,150,t,f,flexible,f,f,1
1303,2531,Palermo,Entire home/apt,3,69,5/15/20,1.33,8,365,2/10/14,f,2.0,2,2,Real Bed,5928,1,0,1125,f,f,strict_14_with_grace_period,f,f,4
1304,4485,San Nicolás,Private room,2,90,3/14/20,2.58,7,287,2/22/14,t,1.0,1,2,Real Bed,650,1,321,1125,t,f,strict_14_with_grace_period,f,f,1
1305,9944,Palermo,Entire home/apt,2,42,3/10/20,2.99,1,20,4/15/19,t,1.0,1,1,Real Bed,908,1,0,15,t,f,strict_14_with_grace_period,f,f,2
1306,8505,San Nicolás,Entire home/apt,2,33,1/5/20,1.91,1,180,4/30/17,t,1.0,1,3,Real Bed,349,3,349,30,f,f,strict_14_with_grace_period,f,f,3
1307,13541,Balvanera,Entire home/apt,2,3,3/19/20,0.69,15,365,7/9/10,t,1.0,2,2,Real Bed,1744,2,697,1125,t,f,flexible,f,f,3
1308,10218,San Telmo,Entire home/apt,7,10,1/10/20,0.85,1,360,2/2/18,f,2.0,4,4,Real Bed,2799,2,700,1125,t,f,strict_14_with_grace_period,f,f,4
1309,11405,Palermo,Entire home/apt,6,1,1/6/20,0.18,1,359,9/20/18,f,1.5,1,1,Real Bed,2095,1,0,365,f,f,strict_14_with_grace_period,f,f,3
1310,12981,Palermo,Entire home/apt,5,2,3/2/20,0.34,5,360,7/7/17,f,1.0,1,2,Real Bed,1749,1,0,1125,t,f,moderate,f,f,2
1311,3457,Recoleta,Entire home/apt,3,4,2/15/20,0.13,6,364,4/16/13,f,1.0,0,0,Real Bed,1395,1,0,365,f,f,strict_14_with_grace_period,f,f,3
1312,12624,Villa Devoto,Entire home/apt,3,3,3/22/20,0.69,1,16,5/25/18,f,1.0,1,1,Real Bed,700,1,325,30,f,f,strict_14_with_grace_period,f,f,1
1313,8400,San Nicolás,Entire home/apt,2,9,12/1/19,0.5,1,192,11/29/18,f,1.0,1,1,Real Bed,418,2,697,1125,t,f,flexible,f,f,2
1314,9997,Almagro,Entire home/apt,7,3,1/20/20,0.28,2,173,1/30/13,f,1.0,1,4,Real Bed,2799,4,700,28,t,f,strict_14_with_grace_period,f,f,3
1315,3793,Palermo,Entire home/apt,2,19,11/10/18,0.48,7,84,2/12/15,f,1.0,1,5,Real Bed,1397,2,698,90,f,f,moderate,f,f,3
1316,1226,Palermo,Entire home/apt,3,36,3/10/20,0.64,33,359,1/20/14,t,2.5,2,3,Real Bed,3492,4,0,1125,f,f,strict_14_with_grace_period,f,f,4
1317,2211,Recoleta,Entire home/apt,5,14,3/19/20,0.26,3,365,7/18/15,f,1.0,1,1,Real Bed,3138,1,1395,1124,f,f,strict_14_with_grace_period,f,f,1
1318,10521,Retiro,Entire home/apt,3,23,3/17/20,2.01,1,180,5/27/19,t,1.0,1,3,Real Bed,900,2,600,30,t,f,flexible,f,f,1
1319,8883,Chacarita,Entire home/apt,3,15,3/12/20,0.96,3,79,2/19/16,t,1.0,0,1,Real Bed,1744,2,0,1125,t,f,flexible,f,f,2
1320,4635,Retiro,Entire home/apt,3,11,12/27/19,0.37,35,364,3/24/13,t,3.5,2,2,Real Bed,2790,1,0,1125,f,f,strict_14_with_grace_period,f,f,4
1321,1251,Balvanera,Private room,10,6,3/31/20,0.15,3,360,3/30/14,t,1.0,1,1,Real Bed,700,1,0,365,f,f,flexible,f,f,1
1322,1345,Recoleta,Entire home/apt,13,79,5/8/20,1.17,62,324,3/7/12,t,1.0,1,1,Real Bed,1753,1,0,360,f,f,moderate,f,f,3
1323,10069,Recoleta,Entire home/apt,15,3,3/29/20,0.23,3,365,4/20/18,f,1.0,2,3,Real Bed,1500,5,0,1125,t,f,moderate,f,f,1
1324,8105,Recoleta,Entire home/apt,3,5,1/8/20,0.3,6,170,4/26/16,t,1.5,2,4,Real Bed,1500,1,0,1125,t,f,moderate,f,f,3
1325,10021,Saavedra,Private room,7,13,2/16/20,0.98,1,360,7/29/14,t,1.5,1,1,Real Bed,790,1,0,180,f,f,flexible,f,f,2
1326,12543,Palermo,Entire home/apt,7,4,3/1/20,0.72,1,0,10/27/13,f,1.0,2,3,Real Bed,6974,1,0,30,t,f,flexible,f,f,3
1327,12067,Palermo,Entire home/apt,2,3,6/20/20,0.36,1,359,1/17/14,f,1.0,1,1,Real Bed,2444,1,0,1125,t,f,moderate,f,f,4
1328,3573,Almagro,Entire home/apt,5,75,3/31/20,1.71,2,77,11/13/16,f,1.0,0,1,Real Bed,1500,1,0,90,f,f,flexible,f,f,1
1329,5484,Chacarita,Entire home/apt,7,63,3/20/20,2.3,1,174,10/2/17,f,1.0,1,1,Real Bed,0,1,0,80,f,f,moderate,f,f,2
1330,382,Palermo,Entire home/apt,3,23,4/17/20,0.26,37,365,10/5/12,t,1.5,2,3,Real Bed,3487,2,1395,1125,t,f,strict_14_with_grace_period,f,f,4
1331,5422,Balvanera,Private room,2,3,10/24/19,0.12,3,265,3/10/16,t,2.0,1,1,Real Bed,1050,1,0,1125,f,f,strict_14_with_grace_period,f,f,1
1332,9452,San Nicolás,Entire home/apt,2,40,2/24/20,2.75,1,172,8/22/17,f,1.0,1,1,Real Bed,1186,1,0,1125,t,f,moderate,f,f,3
1333,2363,San Nicolás,Entire home/apt,5,1,3/26/16,0.02,1,173,8/11/15,f,1.0,1,4,Real Bed,500,1,0,7,f,f,strict_14_with_grace_period,f,f,1
1334,8845,Chacarita,Entire home/apt,10,1,2/5/19,0.06,1,0,12/21/18,f,1.5,1,1,Real Bed,780,1,0,30,t,f,flexible,f,f,1
1335,9850,Colegiales,Entire home/apt,3,24,2/27/20,1.67,1,358,12/23/16,t,1.5,1,2,Real Bed,700,1,0,1125,t,f,flexible,f,f,3
1336,8456,Chacarita,Entire home/apt,1,46,3/1/20,2.57,5,364,4/1/15,f,2.0,1,4,Real Bed,1046,1,0,1125,t,f,flexible,f,f,4
1337,3511,Almagro,Entire home/apt,6,1,3/20/17,0.03,46,359,12/7/11,f,1.0,1,3,Real Bed,1397,1,349,1125,f,f,flexible,f,f,4
1338,3930,Caballito,Entire home/apt,3,10,3/2/20,0.28,1,265,9/25/15,t,2.0,2,3,Real Bed,1186,2,790,270,f,f,moderate,f,f,3
1339,7525,Chacarita,Entire home/apt,2,15,12/29/19,0.77,3,360,9/28/15,t,1.0,0,4,Real Bed,1399,1,0,20,t,f,flexible,f,f,3
1340,4199,Chacarita,Private room,4,11,7/29/19,0.33,4,360,7/19/14,t,1.0,1,1,Real Bed,700,1,0,100,t,f,moderate,f,f,1
1341,355,Almagro,Entire home/apt,2,5,2/28/20,0.06,19,288,3/5/12,t,1.0,0,2,Real Bed,0,1,350,1125,f,f,strict_14_with_grace_period,f,f,2
1342,3754,San Telmo,Entire home/apt,2,62,3/2/20,1.52,2,315,1/30/14,t,1.0,1,3,Real Bed,1399,2,350,1125,f,f,strict_14_with_grace_period,f,f,3
1343,2455,Núñez,Entire home/apt,3,24,11/12/18,0.46,1,289,12/22/15,f,1.0,1,1,Real Bed,1749,3,700,360,f,f,strict_14_with_grace_period,f,f,4
1344,13202,Palermo,Entire home/apt,3,1,4/30/20,0.56,1,356,12/29/19,f,1.0,1,1,Real Bed,1744,1,0,1125,f,f,moderate,f,f,1
1345,1941,Palermo,Entire home/apt,3,69,2/8/20,1.23,1,363,9/30/14,f,1.0,1,2,Real Bed,1813,1,0,100,f,f,moderate,f,f,1
1346,9716,Palermo,Private room,1100,1,5/10/19,0.07,2,365,3/15/19,f,2.0,1,1,Real Bed,600,1,300,1125,t,f,flexible,f,f,1
1347,8944,Puerto Madero,Entire home/apt,6,17,3/17/20,1.06,3,175,7/14/17,f,1.0,1,1,Real Bed,3499,1,0,1125,t,f,moderate,f,f,4
1348,748,Villa Crespo,Private room,2,5,11/22/19,0.49,1,360,8/27/13,f,1.0,1,1,Real Bed,0,1,560,1125,t,f,flexible,f,f,1
1349,11367,Retiro,Entire home/apt,4,2,1/4/20,0.28,1,177,9/29/18,f,3.0,3,4,Real Bed,3487,1,0,1125,f,f,flexible,f,f,4
1350,4179,Puerto Madero,Entire home/apt,1,7,2/9/20,0.19,7,264,6/27/16,f,1.5,1,1,Real Bed,0,2,0,1125,f,f,strict_14_with_grace_period,f,f,4
1351,327,Recoleta,Entire home/apt,60,2,8/22/19,0.15,15,364,6/14/12,f,2.0,3,4,Real Bed,3274,1,0,180,t,f,flexible,f,f,3
1352,5330,Palermo,Entire home/apt,4,1,8/22/18,0.04,1,94,1/8/18,f,1.0,1,1,Real Bed,2095,1,0,60,t,f,strict_14_with_grace_period,f,f,3
1353,8754,Monserrat,Entire home/apt,12,1,7/21/19,0.09,1,359,1/3/17,f,1.0,1,1,Real Bed,1746,1,0,1125,t,f,strict_14_with_grace_period,f,f,2
1354,8382,Palermo,Entire home/apt,15,11,2/5/20,0.61,1,95,7/3/18,t,1.0,1,1,Real Bed,689,2,0,65,t,f,strict_14_with_grace_period,f,f,1
1355,1589,Recoleta,Entire home/apt,4,1,10/25/17,0.03,1,362,1/14/15,f,1.0,1,0,Real Bed,1395,1,0,180,f,f,flexible,f,f,3
